date,time_local,league,home,away,pick_main,confidence,segno_max,prob_max,ou25,btts
2025-12-20,12:30,Premier League,Newcastle United FC,Chelsea FC,NoBet,low,1,"44,7","54,1 OVR / 45,9 UDR","57,0 YES"
2025-12-20,15:00,Premier League,Brighton & Hove Albion FC,Sunderland AFC,NoBet,low,1,"44,8","59,0 OVR / 41,0 UDR","60,9 YES"
2025-12-20,15:00,Premier League,Wolverhampton Wanderers FC,Brentford FC,X2,medium,2,"48,5","51,0 OVR / 49,0 UDR","53,7 YES"
2025-12-20,15:00,Premier League,Manchester City FC,West Ham United FC,1,high,1,"62,6","78,0 OVR / 22,0 UDR","72,2 YES"
2025-12-20,15:00,Premier League,AFC Bournemouth,Burnley FC,1X,medium,1,"52,8","69,9 OVR / 30,1 UDR","68,1 YES"
2025-12-20,17:30,Premier League,Tottenham Hotspur FC,Liverpool FC,X2,medium,2,"50,1","67,3 OVR / 32,7 UDR","66,6 YES"
2025-12-20,20:00,Premier League,Leeds United FC,Crystal Palace FC,NoBet,low,1,"40,2","67,7 OVR / 32,3 UDR","68,1 YES"
2025-12-20,20:00,Premier League,Everton FC,Arsenal FC,X2,medium,2,"46,5","55,9 OVR / 44,1 UDR","58,1 YES"
