match_id,date,time_local,league,home,away,ft_home_goals,ft_away_goals,odds_1,odds_x,odds_2,xg_for_home,xg_against_home,xg_for_away,xg_against_away,rest_days_home,rest_days_away,derby_flag,europe_flag_home,europe_flag_away,meteo_flag,style_ppda_home,style_ppda_away,travel_km_away,target_ou25,target_btts,target_1x2,home_form_xg_for,home_form_xg_against,home_form_xg_diff,home_form_wins,home_form_draws,home_form_losses,home_form_goals_for,home_form_goals_against,home_form_points,home_form_trend,away_form_xg_for,away_form_xg_against,away_form_xg_diff,away_form_wins,away_form_draws,away_form_losses,away_form_goals_for,away_form_goals_against,away_form_points,away_form_trend,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_home_goals_avg,h2h_away_goals_avg,h2h_home_xg_avg,h2h_away_xg_avg,h2h_total_over25,home_position,home_points,home_goal_difference,home_pressure_top,home_pressure_relegation,away_position,away_points,away_goal_difference,away_pressure_top,away_pressure_relegation,home_winning_streak,home_unbeaten_streak,home_losing_streak,home_clean_sheet_streak,home_scoring_streak,home_xg_momentum,away_winning_streak,away_unbeaten_streak,away_losing_streak,away_clean_sheet_streak,away_scoring_streak,away_xg_momentum,position_gap,points_gap,form_diff,momentum_diff
20240824_PARMA_MILAN_SERIE_A,2024-08-24,17:30,Serie A,Parma,Milan,2,1,4.74,4.03,1.7,1.2,1.2,1.2,1.2,,,0,0,0,0,,,,1,1,0,1.2,1.2,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.2,1.2,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,1.0,0.0,0.96,0.9333333333333333,10.0,1.0,0.0,0.96,0.9333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20240824_UDINESE_LAZIO_SERIE_A,2024-08-24,17:30,Serie A,Udinese,Lazio,2,1,3.27,3.1,2.39,1.2,1.2,1.2,1.2,,,0,0,0,1,,,,1,1,0,1.2,1.2,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.2,1.2,0.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,1.0,0.0,0.96,0.9333333333333333,10.0,3.0,2.0,0.88,0.8,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0
20240824_INTER_LECCE_SERIE_A,2024-08-24,19:45,Serie A,Inter,Lecce,2,0,1.2,6.95,14.52,1.2,1.2,1.2,1.2,,,0,0,0,1,,,,0,0,0,1.2,1.2,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.2,1.2,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,1.0,0.0,0.96,0.9333333333333333,10.0,0.0,-4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20240824_MONZA_GENOA_SERIE_A,2024-08-24,19:45,Serie A,Monza,Genoa,0,1,2.62,3.12,2.91,1.2,1.2,1.2,1.2,,,0,0,0,0,,,,0,0,2,1.2,1.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,1.0,0.0,0.96,0.9333333333333333,10.0,1.0,0.0,0.96,0.9333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20240825_FIORENTINA_VENEZIA_SERIE_A,2024-08-25,17:30,Serie A,Fiorentina,Venezia,0,0,1.43,4.62,7.47,1.2,1.2,1.2,1.2,,,0,0,0,1,,,,0,0,1,1.2,1.2,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.2,1.2,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,1.0,0.0,0.96,0.9333333333333333,10.0,0.0,-2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
20240825_TORINO_ATALANTA_SERIE_A,2024-08-25,17:30,Serie A,Torino,Atalanta,2,1,3.17,3.23,2.37,1.2,1.2,1.2,1.2,,,0,0,0,0,,,,1,1,0,1.2,1.2,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.2,1.2,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,1.0,0.0,0.96,0.9333333333333333,10.0,3.0,4.0,0.88,0.8,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,0.0,0.0
20240825_NAPOLI_BOLOGNA_SERIE_A,2024-08-25,19:45,Serie A,Napoli,Bologna,3,0,1.92,3.58,4.08,1.2,1.2,1.2,1.2,,,0,0,0,1,,,,1,0,0,1.2,1.2,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.2,1.2,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,0.0,-3.0,1.0,1.0,10.0,1.0,0.0,0.96,0.9333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0
20240825_ROMA_EMPOLI_SERIE_A,2024-08-25,19:45,Serie A,Roma,Empoli,1,2,1.5,4.35,6.5,1.2,1.2,1.2,1.2,,,0,0,0,1,,,,1,1,2,1.2,1.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,1.0,0.0,0.96,0.9333333333333333,10.0,1.0,0.0,0.96,0.9333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20240826_CAGLIARI_COMO_SERIE_A,2024-08-26,17:30,Serie A,Cagliari,Como,1,1,2.11,3.45,3.52,1.2,1.2,1.2,1.2,,,0,0,0,0,,,,0,1,1,1.2,1.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,1.0,0.0,0.96,0.9333333333333333,10.0,0.0,-3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20240826_VERONA_JUVENTUS_SERIE_A,2024-08-26,19:45,Serie A,Verona,Juventus,0,3,5.06,3.74,1.72,1.2,1.2,1.2,1.2,,,0,0,0,1,,,,1,0,2,1.2,1.2,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.2,1.2,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,3.0,3.0,0.88,0.8,10.0,3.0,3.0,0.88,0.8,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
